Performance, 48.74, [16-0-47-53-56-30-90-52-31-27-44-35-54-38-58-68-42-73-54-14]
Stability, 0, 26.70
Dataset, coc1000
Wins, 0.04, 33.62
Dist8, 1
Quant, 100, 23, -2, -23, -98
