Performance, 34.28, [16-31-25-19-40-5-25-0-15-29-0-40-47-55-54-33-56-35-32-42]
Stability, 0, 29.07
Dataset, Loan
Wins, 0.01, 25.14
Dist8, 0
Quant, 100, 16, 0, -17, -85
