Performance, 2.28, [0-0-2-0-1-0-0-0-1-0-0-0-0-7-0-0-0-0-7-0]
Stability, 22, 37.87
Dataset, wc+rs-3d-c4-obj1
Wins, -0.05, 73.02
Dist8, 14
Quant, 100, 40, 3, -28, -275
