Performance, 66.52, [100-7-9-9-0-100-100-7-99-8-100-100-0-100-1-1-0-91-9-100]
Stability, 0, 9.12
Dataset, dress-up
Wins, -0.00, 3.65
Dist8, 0
Quant, 100, 0, 0, 0, -41
