Performance, 5.09, [2-4-5-4-3-6-7-4-7-7-3-3-2-4-10-2-7-3-5-5]
Stability, 57, 6.50
Dataset, SS-U
Wins, -0.06, 65.58
Dist8, 14
Quant, 100, 63, 3, -71, -108
