Performance, 2.61, [1-2-5-4-4-3-0-1-2-2-0-3-0-3-4-1-0-4-1-2]
Stability, 88, 23.40
Dataset, SS-Q
Wins, 0.13, 56.89
Dist8, 8
Quant, 100, 59, -10, -40, -111
