Performance, 3.22, [1-0-3-4-4-0-4-1-7-4-3-0-0-8-0-1-0-1-3-0]
Stability, 73, 8.35
Dataset, SS-P
Wins, 0.09, 35.02
Dist8, 6
Quant, 100, 17, -13, -25, -51
