Performance, 3.92, [1-1-4-6-3-1-5-4-1-1-5-1-3-3-9-5-5-0-0-5]
Stability, 32, 16.87
Dataset, LLVM
Wins, 0.01, 45.64
Dist8, 5
Quant, 100, 36, 0, -36, -87
