Performance, 0.00, [0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0]
Stability, 92, 26.39
Dataset, student_dropout
Wins, 0.18, 42.63
Dist8, 15
Quant, 100, -18, -18, -18, -18
