Performance, 12.79, [15-14-12-20-14-8-10-10-8-12-13-11-18-5-15-2-8-21-12-11]
Stability, 0, 29.64
Dataset, xomo_osp
Wins, -0.03, 38.83
Dist8, 0
Quant, 100, 27, 2, -24, -242
