Performance, 17.10, [0-20-15-23-8-1-35-16-36-13-0-0-23-15-24-6-0-8-16-0]
Stability, 2, 28.62
Dataset, auto93
Wins, 0.00, 41.34
Dist8, 1
Quant, 100, 31, 0, -19, -95
