Performance, 19.27, [11-8-33-20-20-26-0-25-22-0-0-10-15-1-12-16-9-6-50-15]
Stability, 0, 32.12
Dataset, Health-ClosedIssues0008
Wins, -0.10, 30.33
Dist8, 0
Quant, 100, 14, 8, -30, -94
