Performance, 23.03, [13-21-15-24-17-36-9-19-32-7-46-19-0-19-18-33-0-25-28-21]
Stability, 0, 14.11
Dataset, FFM-250-50-0.50-SAT-1
Wins, -0.02, 38.51
Dist8, 0
Quant, 100, 27, 2, -24, -173
