Performance, 0.32, [0-0-0-0-0-0-0-0-1-0-0-0-1-0-0-0-0-0-0-0]
Stability, 85, 17.32
Dataset, SS-H
Wins, 0.07, 36.40
Dist8, 3
Quant, 100, 22, -3, -31, -54
