Performance, 51.76, [60-77-30-76-41-29-71-15-77-27-25-56-65-37-48-64-46-27-45-48]
Stability, 0, 57.08
Dataset, SS-N
Wins, 0.04, 23.52
Dist8, 0
Quant, 100, 19, -2, -13, -202
