Performance, 17.76, [22-9-0-22-31-9-27-22-23-27-1-0-20-0-15-8-0-26-11-16]
Stability, 30, 20.38
Dataset, SS-C
Wins, -0.20, 70.81
Dist8, 1
Quant, 100, 56, 15, -24, -212
