Performance, 19.68, [5-36-0-38-35-3-5-1-12-35-4-33-0-0-4-0-35-0-0-2]
Stability, 72, 15.56
Dataset, SS-V
Wins, 0.02, 38.83
Dist8, 2
Quant, 100, 28, -2, -35, -80
