Performance, 0.00, [0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0]
Stability, 0, 20.34
Dataset, Health-ClosedPRs0007
Wins, 0.39, 34.93
Dist8, 10
Quant, 100, -8, -12, -13, -74
