Performance, 32.95, [0-7-25-56-0-48-16-39-14-0-56-0-48-57-48-13-25-26-21-27]
Stability, 20, 32.31
Dataset, SS-D
Wins, -0.11, 43.09
Dist8, 2
Quant, 100, 30, 8, -31, -136
