Performance, 26.40, [20-9-23-23-13-39-19-25-24-31-20-48-22-31-20-13-40-34-26-6]
Stability, 0, 43.34
Dataset, billing10k
Wins, -0.06, 39.40
Dist8, 0
Quant, 100, 28, 4, -24, -170
