Performance, 5.63, [3-11-11-0-11-5-3-0-2-7-4-1-5-6-7-1-1-4-5-2]
Stability, 6, 26.97
Dataset, SS-J
Wins, 0.14, 41.64
Dist8, 8
Quant, 100, 35, -13, -28, -94
