Performance, 1.82, [1-1-0-4-0-4-2-1-0-4-0-1-0-0-0-0-0-1-3-0]
Stability, 43, 15.16
Dataset, SS-L
Wins, 0.09, 35.02
Dist8, 6
Quant, 100, 17, -13, -25, -51
