Performance, 42.48, [78-39-43-28-39-50-55-27-24-37-37-64-62-21-42-24-26-34-37-29]
Stability, 0, 32.30
Dataset, Scrum100k
Wins, 0.01, 30.87
Dist8, 0
Quant, 100, 21, 1, -20, -120
