Performance, 18.03, [26-25-0-33-0-2-25-0-0-0-17-22-0-28-0-0-0-25-26-25]
Stability, 33, 15.76
Dataset, nasa93dem
Wins, 0.14, 33.34
Dist8, 2
Quant, 100, 11, -11, -19, -126
