Performance, 0.63, [0-0-0-0-1-0-0-1-0-1-0-0-0-0-0-0-0-1-0-2]
Stability, 56, 78.62
Dataset, HSQLDB
Wins, -0.24, 134.26
Dist8, 36
Quant, 100, 81, 79, 2, -253
