Performance, 63.42, [66-67-71-92-44-61-71-4-64-86-44-9-56-61-76-23-32-85-90-66]
Stability, 0, 16.45
Dataset, Health-ClosedPRs0010
Wins, 0.08, 9.59
Dist8, 0
Quant, 100, 6, -4, -6, -52
