Performance, 32.33, [20-28-15-18-49-5-19-29-4-25-68-48-28-47-8-20-56-26-26-6]
Stability, 19, 4.89
Dataset, SS-K
Wins, 0.06, 31.56
Dist8, 1
Quant, 100, 23, -2, -27, -75
