Performance, 59.48, [22-76-35-13-83-82-56-65-64-86-46-57-31-64-42-51-29-67-41-94]
Stability, 0, 23.05
Dataset, Health-ClosedIssues0009
Wins, -0.00, 12.79
Dist8, 0
Quant, 100, 1, 0, -1, -117
