Performance, 25.94, [0-32-54-33-14-43-17-0-34-7-43-29-31-0-0-3-12-32-0-8]
Stability, 0, 25.94
Dataset, all_players
Wins, -0.04, 29.68
Dist8, 0
Quant, 100, 19, 2, -17, -99
