Performance, 7.40, [0-1-0-0-0-0-0-0-0-0-8-8-16-1-0-15-0-0-22-0]
Stability, 17, 37.99
Dataset, SS-A
Wins, -0.15, 74.43
Dist8, 2
Quant, 100, 50, 20, -17, -295
