Performance, 0.00, [0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0]
Stability, 71, 40.21
Dataset, Health-ClosedIssues0011
Wins, 0.40, 52.40
Dist8, 21
Quant, 100, -6, -29, -30, -48
