Performance, 56.38, [50-65-53-67-62-41-46-65-42-52-43-62-33-33-66-70-71-75-49-55]
Stability, 0, 28.09
Dataset, redis
Wins, -0.02, 21.45
Dist8, 0
Quant, 100, 13, 0, -13, -83
