Performance, 18.56, [0-0-83-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0]
Stability, 72, 4.53
Dataset, Health-ClosedPRs0004
Wins, 0.18, 26.93
Dist8, 5
Quant, 100, 16, -14, -15, -18
