Performance, 24.95, [19-22-42-28-22-25-0-29-30-15-6-31-24-18-29-21-7-47-18-15]
Stability, 0, 16.43
Dataset, WA_Fn-UseC_-HR-Employee-Attrition
Wins, 0.07, 30.38
Dist8, 0
Quant, 100, 21, -10, -22, -39
