Performance, 15.51, [28-14-24-18-14-4-19-10-10-27-10-7-14-12-15-17-15-11-8-4]
Stability, 0, 59.37
Dataset, xomo_flight
Wins, -0.05, 42.57
Dist8, 0
Quant, 100, 29, 4, -24, -279
