Performance, 27.41, [16-0-27-29-0-32-19-0-52-20-16-32-39-48-53-0-15-0-0-24]
Stability, 0, 28.66
Dataset, A2C_Acrobot
Wins, 0.01, 38.02
Dist8, 0
Quant, 100, 34, -3, -32, -67
