Performance, 27.03, [10-12-24-14-28-16-25-55-32-41-14-21-0-32-20-32-20-38-11-34]
Stability, 0, 52.42
Dataset, xomo_ground
Wins, -0.02, 35.43
Dist8, 0
Quant, 100, 24, 1, -21, -211
