Performance, 3.41, [0-0-0-2-2-0-0-0-0-1-3-1-1-1-0-1-1-3-14-2]
Stability, 73, 194.56
Dataset, HSMGP_num
Wins, -0.34, 158.08
Dist8, 15
Quant, 100, 74, 59, 33, -726
