Performance, 48.19, [0-75-7-76-6-75-4-79-0-0-0-74-7-5-8-8-76-72-7-80]
Stability, 0, 14.49
Dataset, A2C_CartPole
Wins, 0.06, 14.65
Dist8, 0
Quant, 100, 11, -1, -11, -26
