Performance, 20.80, [14-0-39-25-31-18-24-1-0-7-27-32-18-8-2-15-24-17-29-18]
Stability, 0, 51.50
Dataset, FFM-1000-200-0.50-SAT-1
Wins, -0.06, 41.32
Dist8, 0
Quant, 100, 29, 5, -24, -169
