Performance, 0.84, [1-1-1-1-0-0-1-1-0-1-1-1-1-0-0-0-1-1-1-1]
Stability, 18, 107.18
Dataset, rs-6d-c3_obj2
Wins, -0.36, 270.58
Dist8, 72
Quant, 100, 99, 94, 62, -1335
