Performance, 0.84, [0-1-0-0-0-0-0-1-1-1-0-0-0-1-0-3-0-0-0-0]
Stability, 51, 28.30
Dataset, rs-6d-c3_obj1
Wins, -0.17, 98.63
Dist8, 23
Quant, 100, 77, 41, -83, -261
