Performance, 4.85, [3-0-3-6-5-0-0-1-5-7-6-7-2-6-7-2-7-6-2-7]
Stability, 27, 3.25
Dataset, sol-6d-c2-obj1
Wins, -0.02, 85.23
Dist8, 23
Quant, 100, 80, 9, -58, -336
