Performance, 0.00, [0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0]
Stability, 100, 7.76
Dataset, Health-ClosedPRs0011
Wins, 0.32, 69.94
Dist8, 33
Quant, 100, 100, -48, -49, -70
