Performance, 24.21, [4-0-18-4-29-58-35-3-25-13-10-33-33-11-0-0-28-29-32-9]
Stability, 31, 14.12
Dataset, SS-E
Wins, -0.14, 50.89
Dist8, 1
Quant, 100, 35, 14, -32, -148
