Performance, 88.04, [98-97-99-80-97-79-79-79-97-79-97-81-79-97-97-97-80-97-97-19]
Stability, 0, 9.12
Dataset, accessories
Wins, 0.09, 6.52
Dist8, 0
Quant, 100, 1, 0, -1, -28
