Performance, 44.69, [2-1-1-23-30-8-7-8-107-38-6-5-31-107-20-9-107-11-5-30]
Stability, 23, 33.59
Dataset, Health-Commits0007
Wins, 0.32, 29.56
Dist8, 3
Quant, 100, -7, -11, -12, -58
