Performance, 0.00, [0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0]
Stability, 42, 15.69
Dataset, SS-B
Wins, 0.04, 34.64
Dist8, 1
Quant, 100, 25, -1, -26, -71
