Performance, 23.41, [0-0-45-0-0-8-14-4-0-3-30-47-0-22-0-47-6-0-0-53]
Stability, 20, 25.04
Dataset, SS-F
Wins, -0.11, 46.56
Dist8, 2
Quant, 100, 34, 12, -41, -148
