Performance, 26.13, [34-18-43-34-41-21-15-20-19-38-16-35-0-29-15-20-15-0-17-34]
Stability, 0, 34.89
Dataset, FM-500-100-0.75-SAT-1
Wins, -0.01, 32.60
Dist8, 0
Quant, 100, 23, 1, -22, -103
