Performance, 0.95, [1-1-1-1-1-0-1-1-1-1-1-1-1-0-1-1-1-1-1-1]
Stability, 29, 78.48
Dataset, storm
Wins, -0.25, 141.14
Dist8, 50
Quant, 100, 98, 91, -35, -461
