Performance, 10.67, [12-15-4-0-0-15-1-1-16-0-1-17-0-15-16-15-1-17-11-0]
Stability, 8, 57.39
Dataset, SS-T
Wins, -0.04, 81.08
Dist8, 14
Quant, 100, 73, 30, -74, -174
