Performance, 65.58, [82-87-52-76-68-80-39-55-86-48-86-45-56-68-59-22-86-72-35-55]
Stability, 0, 24.33
Dataset, Health-ClosedIssues0010
Wins, 0.06, 9.32
Dist8, 0
Quant, 100, 5, 0, -4, -108
