Performance, 1.75, [0-0-0-0-0-0-0-0-0-0-0-0-0-5-0-0-0-0-6-0]
Stability, 22, 5.84
Dataset, wc+sol-3d-c4-obj1
Wins, -0.02, 73.28
Dist8, 15
Quant, 100, 43, 3, -33, -280
