Performance, 24.02, [2-25-4-25-4-29-28-26-30-31-29-2-29-0-29-29-29-30-29-12]
Stability, 0, 38.26
Dataset, Health-ClosedIssues0006
Wins, -0.07, 49.57
Dist8, 0
Quant, 100, 20, 16, -23, -259
