Performance, 66.12, [12-75-59-61-83-63-51-85-67-65-64-54-55-83-53-86-65-82-63-55]
Stability, 0, 4.92
Dataset, Health-ClosedPRs0009
Wins, 0.23, 8.64
Dist8, 0
Quant, 100, 3, -4, -5, -11
