Performance, 33.29, [22-62-0-33-43-27-23-41-12-13-6-48-30-64-22-8-52-20-6-25]
Stability, 0, 39.93
Dataset, pom3a
Wins, 0.02, 32.43
Dist8, 0
Quant, 100, 22, -1, -23, -117
