Performance, 30.86, [29-33-19-41-25-19-32-53-26-9-25-31-8-27-43-7-36-57-12-23]
Stability, 0, 41.30
Dataset, xomo_osp2
Wins, -0.04, 39.24
Dist8, 0
Quant, 100, 29, 3, -27, -149
