Performance, 37.69, [0-0-0-64-64-0-64-0-127-0-0-0-0-0-0-0-0-0-0-0]
Stability, 2, 36.24
Dataset, dataset120
Wins, 0.13, 45.20
Dist8, 13
Quant, 100, 36, -27, -27, -27
