Performance, 21.10, [9-25-24-9-26-13-12-23-25-23-32-9-24-24-15-19-18-35-9-20]
Stability, 0, 19.93
Dataset, FM-500-100-1.00-SAT-1
Wins, -0.02, 37.20
Dist8, 0
Quant, 100, 26, 0, -25, -117
