Performance, 33.43, [3-11-33-40-33-54-20-7-47-38-21-31-5-34-39-44-40-31-18-50]
Stability, 0, 43.66
Dataset, FM-500-100-0.25-SAT-1
Wins, -0.00, 35.05
Dist8, 0
Quant, 100, 24, 1, -22, -153
