Performance, 40.68, [33-36-38-36-35-35-37-32-69-35-36-39-34-38-36-30-39-72-35-40]
Stability, 14, 12.33
Dataset, SS-X
Wins, -0.07, 29.74
Dist8, 0
Quant, 100, 22, 8, -25, -73
