Performance, 17.27, [10-19-17-20-16-9-21-18-19-8-0-22-20-20-14-20-0-24-16-24]
Stability, 31, 24.54
Dataset, SS-R
Wins, 0.04, 51.39
Dist8, 0
Quant, 100, 49, 0, -33, -100
