dataset,kmeans,cure,hdbscan,ezr
7z,21,28,32,47
A2C_Acrobot,0,3,4,2
A2C_CartPole,0,5,5,0
Apache_AllMeasurements,28,39,37,64
BDBC,25,34,39,59
BankChurners,0,6,9,8
Car_price_cleaned,5,13,14,10
Data_COVID19_Indonesia,3,5,5,56
FFM-1000-200-0,0,0,0,0
FFM-125-25-0,0,0,0,0
FFM-250-50-0,0,0,0,0
FFM-500-100-0,0,0,0,0
FM-500-100-0,0,0,0,0
FM-500-100-1,0,0,0,0
HSMGP_num,57,75,72,72
HSQLDB,28,35,49,60
Health-ClosedIssues0000,3,20,18,61
Health-ClosedIssues0001,5,7,9,0
Health-ClosedIssues0002,96,100,100,69
Health-ClosedIssues0003,24,29,31,0
Health-ClosedIssues0004,14,14,17,0
Health-ClosedIssues0005,59,62,64,51
Health-ClosedIssues0006,4,5,9,0
Health-ClosedIssues0007,69,73,73,0
Health-ClosedIssues0008,0,0,0,0
Health-ClosedIssues0009,33,41,41,0
Health-ClosedIssues0010,25,31,33,0
Health-ClosedIssues0011,74,74,74,74
Health-ClosedPRs0000,97,100,100,100
Health-ClosedPRs0002,94,100,100,71
Health-ClosedPRs0003,94,96,96,100
Health-ClosedPRs0004,67,73,73,74
Health-ClosedPRs0005,74,76,74,93
Health-ClosedPRs0006,81,79,81,10
Health-ClosedPRs0007,63,63,63,0
Health-ClosedPRs0008,72,82,83,0
Health-ClosedPRs0009,44,51,50,0
Health-ClosedPRs0010,35,44,42,0
Health-ClosedPRs0011,94,97,97,100
Health-Commits0000,0,8,7,82
Health-Commits0001,83,86,86,98
Health-Commits0002,96,99,99,69
Health-Commits0003,21,27,30,0
Health-Commits0004,37,47,47,0
Health-Commits0005,3,7,9,17
Health-Commits0006,70,77,77,68
Health-Commits0007,8,28,24,36
Health-Commits0008,25,22,23,0
Health-Commits0009,36,46,50,0
Health-Commits0010,22,28,27,1
Health-Commits0011,73,74,74,74
LLVM,0,1,1,29
Life_Expectancy_Data,6,19,17,1
Loan,0,0,0,0
Marketing_Analytics,0,0,0,0
Medical_Data_and_Hospital_Readmissions,0,0,0,0
PostgreSQL,31,44,42,52
SQL_AllMeasurements,0,0,0,0
SS-A,14,27,29,8
SS-B,42,69,71,37
SS-C,2,0,6,29
SS-D,4,16,17,15
SS-E,2,5,5,23
SS-F,2,6,6,12
SS-G,4,14,13,8
SS-H,5,11,13,87
SS-I,17,16,17,3
SS-J,2,6,6,26
SS-K,0,0,0,5
SS-L,0,1,1,45
SS-M,26,43,45,93
SS-N,0,0,0,0
SS-O,0,6,8,0
SS-P,2,8,6,77
SS-Q,24,36,35,89
SS-R,2,19,15,37
SS-S,16,16,18,4
SS-T,14,25,24,10
SS-U,3,6,6,44
SS-V,0,0,0,71
SS-W,0,0,0,0
SS-X,17,12,15,31
Scrum100k,0,0,0,0
Scrum10k,0,0,0,0
Scrum1k,0,0,0,0
WA_Fn-UseC_-HR-Employee-Attrition,0,0,0,0
WA_Fn-UseC_-Telco-Customer-Churn,28,35,36,15
Wine_quality,0,0,0,0
X264_AllMeasurements,11,34,31,60
accessories,75,83,83,0
all_players,0,30,0,0
auto93,25,33,35,0
billing10k,0,1,0,0
coc1000,0,0,0,0
dataset120,29,18,18,19
dataset600,13,11,8,15
dconvert,21,42,42,41
deeparch,6,10,10,31
dress-up,95,98,99,0
exastencils,1,1,1,2
home_data_for_ml_course,1,2,4,0
javagc,54,51,54,7
nasa93dem,53,82,82,40
player_statistics_cleaned_final,17,58,75,46
pom3a,0,0,0,0
pom3b,0,0,0,0
pom3c,0,0,0,0
pom3d,0,0,0,0
redis,0,0,0,0
rs-6d-c3_obj1,2,7,7,18
rs-6d-c3_obj2,43,45,45,36
socks,38,44,53,40
sol-6d-c2-obj1,10,13,13,17
storm,18,23,19,45
student_dropout,9,22,22,100
wallpaper,26,43,46,51
wc+rs-3d-c4-obj1,28,28,29,22
wc+sol-3d-c4-obj1,16,39,40,18
wc+wc-3d-c4-obj1,21,35,30,15
wc-6d-c1-obj1,0,0,0,7
x264,0,0,0,0
xomo_flight,1,1,1,0
xomo_ground,0,0,0,0
xomo_osp,0,0,0,0
xomo_osp2,0,0,0,0
